op_index	op_name	op_type	output_index	type_code	type_bits	dimension_type	shape	elements	finite	min	max	mean	rms
50	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__4_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308839	11.8613	0.121458	0.821272
51	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__4	Convolution	0	2	32	1	[2,64,32]	4096	1	-25.4626	21.3299	-2.78652	4.94874
52	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__5_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.23247	0.0097312	0.241987
53	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__5	Convolution	0	2	32	1	[2,64,32]	4096	1	-6.72302	11.781	-1.02959	1.94582
54	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__6_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.2619	0.00566286	0.21084
55	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__6	Convolution	0	2	32	1	[2,64,32]	4096	1	-7.17277	3.8791	-1.28145	1.66777
56	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__7_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	5.17753	-0.0286845	0.275784
57	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__7	Convolution	0	2	32	1	[2,64,32]	4096	1	-13.971	15.6001	-2.52363	4.05328
58	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__8_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	12.4894	0.0197136	0.595254
59	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__8	Convolution	0	2	32	1	[2,64,32]	4096	1	-30.1519	22.3736	-2.06137	3.92373
60	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__9_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308844	4.51786	-0.0962843	0.27856
61	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__9	Convolution	0	2	32	1	[2,64,32]	4096	1	-15.9799	24.2984	-2.10631	7.70661
62	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__10_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	12.7199	0.112252	0.878428
63	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__10	Convolution	0	2	32	1	[2,64,32]	4096	1	-47.3492	13.5987	-9.70724	13.1794
64	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__11_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308829	22.217	0.203863	1.33999
65	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__11	Convolution	0	2	32	1	[2,64,32]	4096	1	-58.7789	21.1707	-13.4002	18.4449
66	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__12_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.30884	11.751	0.0397524	0.515782
67	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__12	Convolution	0	2	32	1	[2,64,32]	4096	1	-101.4	20.3796	-1.13158	4.60353
68	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__13_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	20.2289	0.353677	1.53719
69	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__13	Convolution	0	2	32	1	[2,64,32]	4096	1	-75.9835	109.185	-0.629187	13.63
70	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__14_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308842	41.4075	1.1016	3.80629
71	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__14	Convolution	0	2	32	1	[2,64,32]	4096	1	-182.222	369.171	16.0091	52.9831
72	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__15_raster_0	Raster	0	2	32	1	[2,64,62]	7936	1	-0.308843	28.4265	0.909507	3.00825
73	/input_embed/conv_pos_embed/conv2/conv2.0/Conv_output_0__group__15	Convolution	0	2	32	1	[2,64,32]	4096	1	-148.483	326.229	20.5794	51.7132
74	UnaryOp91_raster_0	Raster	0	2	32	1	[2,1024,32]	65536	1	-182.222	369.171	-0.575307	20.0028
75	UnaryOp91	UnaryOp	0	2	32	1	[2,1024,32]	65536	1	1.64582e-38	6.07601e+37	7.18242e+35	6.5784e+36
